Latitude: 40.40535176833333, Longuitud: -3.7002042166666667,Altitud: 622.668, Dispersion Horizontal:0.58
Latitude: 40.40535190166667, Longuitud: -3.7002044216666667,Altitud: 622.655, Dispersion Horizontal:0.58
Latitude: 40.40535211833333, Longuitud: -3.7002047516666665,Altitud: 622.625, Dispersion Horizontal:0.61
Latitude: 40.405352298333334, Longuitud: -3.70020504,Altitud: 622.649, Dispersion Horizontal:0.58
Latitude: 40.40535239, Longuitud: -3.7002053283333334,Altitud: 622.663, Dispersion Horizontal:0.58
Latitude: 40.40535249, Longuitud: -3.7002056783333335,Altitud: 622.701, Dispersion Horizontal:0.61
Latitude: 40.40535274333333, Longuitud: -3.7002062799999997,Altitud: 622.652, Dispersion Horizontal:0.58
Latitude: 40.405352935, Longuitud: -3.700206651666667,Altitud: 622.712, Dispersion Horizontal:0.58
Latitude: 40.40535322833333, Longuitud: -3.7002072116666667,Altitud: 622.747, Dispersion Horizontal:0.61
Latitude: 40.405353355, Longuitud: -3.700207698333333,Altitud: 622.796, Dispersion Horizontal:0.58
Latitude: 40.40535346833333, Longuitud: -3.700208215,Altitud: 622.838, Dispersion Horizontal:0.60
Latitude: 40.405353758333334, Longuitud: -3.700208868333333,Altitud: 622.829, Dispersion Horizontal:0.62
Latitude: 40.405354038333336, Longuitud: -3.7002093583333333,Altitud: 622.782, Dispersion Horizontal:0.60
Latitude: 40.40535437, Longuitud: -3.70020983,Altitud: 622.723, Dispersion Horizontal:0.60
Latitude: 40.405354755, Longuitud: -3.70021035,Altitud: 622.658, Dispersion Horizontal:0.61
Latitude: 40.405355158333336, Longuitud: -3.700211005,Altitud: 622.536, Dispersion Horizontal:0.62
Latitude: 40.40535548, Longuitud: -3.700211721666667,Altitud: 622.4, Dispersion Horizontal:0.61
Latitude: 40.40535581166667, Longuitud: -3.7002123533333333,Altitud: 622.335, Dispersion Horizontal:0.61
Latitude: 40.40535622, Longuitud: -3.700212955,Altitud: 622.263, Dispersion Horizontal:0.61
Latitude: 40.40535628666667, Longuitud: -3.700213195,Altitud: 622.197, Dispersion Horizontal:0.60
Latitude: 40.40535647833333, Longuitud: -3.7002135000000003,Altitud: 622.188, Dispersion Horizontal:0.57
Latitude: 40.405356911666665, Longuitud: -3.700213905,Altitud: 622.107, Dispersion Horizontal:0.59
Latitude: 40.405357163333335, Longuitud: -3.70021419,Altitud: 622.076, Dispersion Horizontal:0.57
Latitude: 40.40535755333333, Longuitud: -3.7002140333333333,Altitud: 622.114, Dispersion Horizontal:0.59
Latitude: 40.40535789333333, Longuitud: -3.700214063333333,Altitud: 622.117, Dispersion Horizontal:0.59
Latitude: 40.40535802666667, Longuitud: -3.7002140083333335,Altitud: 622.087, Dispersion Horizontal:0.56
Latitude: 40.4053582, Longuitud: -3.7002137483333333,Altitud: 622.021, Dispersion Horizontal:0.61
Latitude: 40.40535826, Longuitud: -3.70021318,Altitud: 621.981, Dispersion Horizontal:0.60
Latitude: 40.405358338333336, Longuitud: -3.7002126466666665,Altitud: 621.954, Dispersion Horizontal:0.61
Latitude: 40.40535846, Longuitud: -3.700212225,Altitud: 621.912, Dispersion Horizontal:0.61
Latitude: 40.405358605, Longuitud: -3.7002117316666667,Altitud: 621.909, Dispersion Horizontal:0.63
Latitude: 40.40535848, Longuitud: -3.7002112383333334,Altitud: 621.965, Dispersion Horizontal:0.59
Latitude: 40.40535829833333, Longuitud: -3.700210541666667,Altitud: 622.045, Dispersion Horizontal:0.57
Latitude: 40.40535815, Longuitud: -3.7002099466666665,Altitud: 622.085, Dispersion Horizontal:0.58
Latitude: 40.40535808333333, Longuitud: -3.70020965,Altitud: 622.122, Dispersion Horizontal:0.59
Latitude: 40.405357976666664, Longuitud: -3.700209303333333,Altitud: 622.23, Dispersion Horizontal:0.57
Latitude: 40.405358005, Longuitud: -3.70020934,Altitud: 622.227, Dispersion Horizontal:0.59
Latitude: 40.405358086666666, Longuitud: -3.7002095283333336,Altitud: 622.185, Dispersion Horizontal:0.59
Latitude: 40.405358175, Longuitud: -3.7002096166666667,Altitud: 622.128, Dispersion Horizontal:0.59
Latitude: 40.40535837, Longuitud: -3.7002099016666667,Altitud: 622.028, Dispersion Horizontal:0.61
Latitude: 40.40535856166667, Longuitud: -3.7002103016666665,Altitud: 621.943, Dispersion Horizontal:0.64
Latitude: 40.40535862666667, Longuitud: -3.700210541666667,Altitud: 621.889, Dispersion Horizontal:0.64
Latitude: 40.405358713333335, Longuitud: -3.700210901666667,Altitud: 621.789, Dispersion Horizontal:0.68
Latitude: 40.40535869166666, Longuitud: -3.700211195,Altitud: 621.736, Dispersion Horizontal:0.59
Latitude: 40.405358795, Longuitud: -3.7002115483333333,Altitud: 621.625, Dispersion Horizontal:0.61
Latitude: 40.40535909, Longuitud: -3.7002120383333335,Altitud: 621.531, Dispersion Horizontal:0.61
Latitude: 40.405359301666664, Longuitud: -3.70021244,Altitud: 621.446, Dispersion Horizontal:0.62
Latitude: 40.40535954333333, Longuitud: -3.700212753333333,Altitud: 621.372, Dispersion Horizontal:0.63
Latitude: 40.40535980166667, Longuitud: -3.70021312,Altitud: 621.302, Dispersion Horizontal:0.64
Latitude: 40.40535997833334, Longuitud: -3.7002135149999997,Altitud: 621.224, Dispersion Horizontal:0.68
Latitude: 40.405360083333335, Longuitud: -3.7002138033333334,Altitud: 621.161, Dispersion Horizontal:0.64
Latitude: 40.405360245, Longuitud: -3.7002141033333333,Altitud: 621.092, Dispersion Horizontal:0.64
Latitude: 40.405360395, Longuitud: -3.70021437,Altitud: 620.998, Dispersion Horizontal:0.68
Latitude: 40.40536047333333, Longuitud: -3.7002145583333332,Altitud: 620.916, Dispersion Horizontal:0.64
Latitude: 40.40536047166667, Longuitud: -3.70021473,Altitud: 620.857, Dispersion Horizontal:0.61
Latitude: 40.4053604, Longuitud: -3.7002147283333335,Altitud: 620.826, Dispersion Horizontal:0.61
Latitude: 40.40536024833333, Longuitud: -3.7002147883333336,Altitud: 620.778, Dispersion Horizontal:0.68
Latitude: 40.405360161666664, Longuitud: -3.700214855,Altitud: 620.745, Dispersion Horizontal:0.61
Latitude: 40.40536013333333, Longuitud: -3.7002148433333333,Altitud: 620.698, Dispersion Horizontal:0.61
Latitude: 40.405360071666664, Longuitud: -3.7002148133333335,Altitud: 620.694, Dispersion Horizontal:0.64
Latitude: 40.40536002166667, Longuitud: -3.7002148916666666,Altitud: 620.674, Dispersion Horizontal:0.62
Latitude: 40.405360001666665, Longuitud: -3.7002149716666666,Altitud: 620.663, Dispersion Horizontal:0.61
Latitude: 40.405360001666665, Longuitud: -3.7002150416666666,Altitud: 620.639, Dispersion Horizontal:0.64
Latitude: 40.40535980833333, Longuitud: -3.7002147883333336,Altitud: 620.72, Dispersion Horizontal:0.61
Latitude: 40.40535975666667, Longuitud: -3.700215185,Altitud: 620.717, Dispersion Horizontal:0.61
Latitude: 40.405359731666664, Longuitud: -3.700215525,Altitud: 620.661, Dispersion Horizontal:0.62
Latitude: 40.40535980166667, Longuitud: -3.70021568,Altitud: 620.595, Dispersion Horizontal:0.62
Latitude: 40.40535991833333, Longuitud: -3.700216225,Altitud: 620.503, Dispersion Horizontal:0.62
Latitude: 40.40535998, Longuitud: -3.700216553333333,Altitud: 620.444, Dispersion Horizontal:0.62
Latitude: 40.405360225, Longuitud: -3.7002170033333335,Altitud: 620.381, Dispersion Horizontal:0.62
Latitude: 40.405360486666666, Longuitud: -3.7002172466666665,Altitud: 620.36, Dispersion Horizontal:0.62
Latitude: 40.405360975, Longuitud: -3.70021792,Altitud: 620.247, Dispersion Horizontal:0.61
Latitude: 40.405361406666664, Longuitud: -3.7002182550000002,Altitud: 620.187, Dispersion Horizontal:0.61
Latitude: 40.405361963333334, Longuitud: -3.7002186883333334,Altitud: 620.196, Dispersion Horizontal:0.59
Latitude: 40.405365456666665, Longuitud: -3.7002194316666666,Altitud: 620.73, Dispersion Horizontal:0.62
Latitude: 40.405366075, Longuitud: -3.700219386666667,Altitud: 621.182, Dispersion Horizontal:0.61
Latitude: 40.405366523333335, Longuitud: -3.700220353333333,Altitud: 621.269, Dispersion Horizontal:0.59
Latitude: 40.40536661666667, Longuitud: -3.7002201416666667,Altitud: 621.753, Dispersion Horizontal:0.59
Latitude: 40.40536723833333, Longuitud: -3.700220535,Altitud: 622.017, Dispersion Horizontal:0.56
Latitude: 40.40537002333333, Longuitud: -3.700221806666667,Altitud: 621.956, Dispersion Horizontal:0.56
Latitude: 40.405372105, Longuitud: -3.7002227283333333,Altitud: 621.966, Dispersion Horizontal:0.56
Latitude: 40.40537345833334, Longuitud: -3.700223273333333,Altitud: 622.027, Dispersion Horizontal:0.56
Latitude: 40.40537278833333, Longuitud: -3.7002225583333335,Altitud: 622.593, Dispersion Horizontal:0.56
Latitude: 40.405372166666666, Longuitud: -3.7002220450000003,Altitud: 623.021, Dispersion Horizontal:0.56
Latitude: 40.405371675, Longuitud: -3.7002216783333335,Altitud: 623.419, Dispersion Horizontal:0.56
Latitude: 40.405370956666665, Longuitud: -3.7002211866666666,Altitud: 623.807, Dispersion Horizontal:0.56
Latitude: 40.405370225, Longuitud: -3.7002208283333333,Altitud: 624.099, Dispersion Horizontal:0.56
Latitude: 40.40536962833333, Longuitud: -3.700220488333333,Altitud: 624.379, Dispersion Horizontal:0.56
Latitude: 40.40536972, Longuitud: -3.700220705,Altitud: 624.424, Dispersion Horizontal:0.56
Latitude: 40.40536934166666, Longuitud: -3.7002207616666665,Altitud: 624.501, Dispersion Horizontal:0.56
Latitude: 40.40536909833333, Longuitud: -3.700220856666667,Altitud: 624.552, Dispersion Horizontal:0.56
Latitude: 40.40536868, Longuitud: -3.7002209,Altitud: 624.63, Dispersion Horizontal:0.56
Latitude: 40.40536815666667, Longuitud: -3.7002208283333333,Altitud: 624.738, Dispersion Horizontal:0.57
Latitude: 40.40536759166667, Longuitud: -3.7002207416666666,Altitud: 624.85, Dispersion Horizontal:0.56
Latitude: 40.405367105, Longuitud: -3.7002208066666666,Altitud: 624.904, Dispersion Horizontal:0.56
Latitude: 40.405366496666666, Longuitud: -3.7002207683333332,Altitud: 625.001, Dispersion Horizontal:0.56
