I;T;H1;LAT;LON;H2;S;H3
5051;2175021.0;604.486206;39.6094856;-3.43054605;697.299988;10;618.936829
5052;2175667.0;604.486206;39.6094856;-3.43054605;697.299988;10;618.809998
5053;2176309.0;604.486206;39.6094856;-3.43054605;697.299988;10;618.989624
5054;2176934.0;604.486206;39.6094856;-3.43054605;697.200012;10;618.162598
5055;2177554.0;604.486206;39.6094856;-3.43054605;697.200012;10;618.70166
5056;2178192.0;604.486206;39.6094856;-3.43054605;697.200012;10;618.672607
5057;2178814.0;604.486206;39.6094856;-3.430547;697.200012;10;618.939453
5058;2179441.0;604.486206;39.6094856;-3.430547;697.200012;10;618.664673
5059;2180081.0;604.486206;39.6094856;-3.430547;697.200012;10;618.321167
5060;2180702.0;604.486206;39.6094856;-3.430547;697.200012;10;617.996155
5061;2181317.0;604.486206;39.6094856;-3.430547;697.200012;10;618.199585
5062;2181964.0;604.486206;39.6094856;-3.430547;697.200012;10;619.008179
5063;2182584.0;604.486206;39.6094856;-3.430547;697.200012;10;618.48761
5064;2183201.0;604.486206;39.6094856;-3.430547;697.200012;10;619.002869
5065;2183842.0;604.486206;39.6094856;-3.43054795;697.200012;10;618.952637
5066;363.0;604.486206;39.6094856;-3.43054795;697.200012;10;622.707336
5067;831.0;604.486206;39.6094704;-3.43055892;697.700012;10;634.959534
5068;1297.0;604.486206;39.6094704;-3.43055892;697.700012;10;650.461792
5069;1796.0;604.486206;39.609417;-3.43065095;698.0;8;676.710144
5070;2263.0;604.486206;39.609417;-3.43065095;698.0;8;699.774536
5071;2736.0;604.486206;39.6093025;-3.43093204;698.200012;8;724.315979
5072;3202.0;604.486206;39.6093025;-3.43093204;698.200012;8;748.262878
5073;3672.0;604.486206;39.6091385;-3.43095303;718.900024;6;768.616333
5074;4158.0;604.486206;39.6091385;-3.43095303;718.900024;6;787.981567
5075;4631.0;604.486206;39.6090317;-3.43108892;738.400024;7;804.202515
5076;5098.0;604.486206;39.6090317;-3.43108892;738.400024;7;818.497192
5077;5564.0;604.486206;39.6088791;-3.43124795;768.5;8;830.643738
5078;6052.0;604.486206;39.6088791;-3.43124795;768.5;8;841.646118
5079;6518.0;604.486206;39.6086845;-3.43145895;790.400024;8;849.929688
5080;7018.0;604.486206;39.6086845;-3.43145895;790.400024;8;857.343872
5081;7492.0;604.486206;39.6086845;-3.43145895;790.400024;8;861.547729
5082;7986.0;604.486206;39.6084938;-3.43165398;808.200012;9;863.130493
5083;8460.0;604.486206;39.6084938;-3.43165398;808.200012;9;862.67334
5084;8936.0;604.486206;39.6082993;-3.43185401;823.099976;9;861.354858
5085;9407.0;604.486206;39.6082993;-3.43185401;823.099976;9;857.592285
5086;9903.0;604.486206;39.6081161;-3.4320271;827.200012;7;849.8927
5087;10372.0;604.486206;39.6081161;-3.4320271;827.200012;7;843.080933
5088;10863.0;604.486206;39.607933;-3.43219805;840.099976;9;864.818909
5089;11340.0;604.486206;39.607933;-3.43219805;840.099976;9;843.656921
5090;11836.0;604.486206;39.6077614;-3.4323709;852.599976;7;819.583191
5091;12316.0;604.486206;39.6077614;-3.4323709;852.599976;7;813.675049
5092;12789.0;604.486206;39.6077232;-3.43241096;858.099976;8;809.217529
5093;13267.0;604.486206;39.6077232;-3.43241096;858.099976;8;806.305725
5094;13742.0;604.486206;39.6077614;-3.432374;840.599976;10;804.133789
5095;14234.0;604.486206;39.6077614;-3.432374;840.599976;10;799.943115
5096;14709.0;604.486206;39.6077995;-3.43233204;829.0;9;797.382751
5097;15180.0;604.486206;39.6077995;-3.43233204;829.0;9;793.562073
5098;15659.0;604.486206;39.6078644;-3.4323101;836.299988;10;791.125854
5099;16152.0;604.486206;39.6078644;-3.4323101;836.299988;10;788.943359
5100;16625.0;604.486206;39.6079254;-3.43229699;834.0;10;786.840088
5101;17095.0;604.486206;39.6079254;-3.43229699;834.0;10;784.036621
5102;17583.0;604.486206;39.6079674;-3.43228412;833.700012;10;782.401062
5103;18075.0;604.486206;39.6079674;-3.43228412;833.700012;10;780.155151
5104;18550.0;604.486206;39.6079865;-3.43228507;838.400024;10;777.269775
5105;19020.0;604.486206;39.6079865;-3.43228507;838.400024;10;775.607788
5106;19513.0;604.486206;39.6080055;-3.432266;837.799988;10;773.274658
5107;20009.0;604.486206;39.6080055;-3.432266;837.799988;10;770.862244
5108;20476.0;604.486206;39.608017;-3.43223;835.299988;9;769.469788
5109;20941.0;604.486206;39.608017;-3.43223;835.299988;9;766.859253
5110;21408.0;604.486206;39.608017;-3.43223;835.299988;9;763.696411
5111;21880.0;604.486206;39.6080284;-3.43219995;832.400024;10;762.475708
5112;22377.0;604.486206;39.6080284;-3.43219995;832.400024;10;759.910034
5113;22846.0;604.486206;39.6080399;-3.43216991;828.700012;10;756.58606
5114;23313.0;604.486206;39.6080399;-3.43216991;828.700012;10;754.260864
5115;23780.0;604.486206;39.6080589;-3.43212295;824.5;10;751.718994
5116;24275.0;604.486206;39.6080589;-3.43212295;824.5;10;748.775513
5117;24744.0;604.486206;39.6080856;-3.43205595;819.0;10;746.455566
5118;25208.0;604.486206;39.6080856;-3.43205595;819.0;10;744.088135
5119;25678.0;604.486206;39.60812;-3.43198204;814.599976;10;740.460266
5120;26172.0;604.486206;39.60812;-3.43198204;814.599976;10;738.940979
5121;26640.0;604.486206;39.6081848;-3.43191004;809.599976;10;736.404358
5122;27106.0;604.486206;39.6081848;-3.43191004;809.599976;10;733.463501
5123;27575.0;604.486206;39.6082535;-3.43183708;805.5;10;731.167419
5124;28049.0;604.486206;39.6082535;-3.43183708;805.5;10;729.790771
5125;28545.0;604.486206;39.6083336;-3.43177795;800.700012;10;726.107422
5126;29011.0;604.486206;39.6083336;-3.43177795;800.700012;10;724.590759
5127;29481.0;604.486206;39.6084175;-3.43171;797.200012;10;723.000122
5128;29946.0;604.486206;39.6084175;-3.43171;797.200012;10;719.99585
5129;30443.0;604.486206;39.6084747;-3.431638;792.299988;10;718.140991
5130;30910.0;604.486206;39.6084747;-3.431638;792.299988;10;715.612305
5131;31376.0;604.486206;39.6084747;-3.431638;792.299988;10;712.72699
5132;31861.0;604.486206;39.6085052;-3.43156004;787.200012;10;711.65155
5133;32355.0;604.486206;39.6085052;-3.43156004;787.200012;10;708.546875
5134;32840.0;604.486206;39.6085167;-3.43148088;782.599976;10;705.772522
5135;33312.0;604.486206;39.6085167;-3.43148088;782.599976;10;703.946716
5136;33786.0;604.486206;39.6085129;-3.43141103;778.299988;10;701.827576
5137;34280.0;604.486206;39.6085129;-3.43141103;778.299988;10;699.193237
5138;34758.0;604.486206;39.6085091;-3.43136096;773.700012;10;697.015991
5139;35229.0;604.486206;39.6085091;-3.43136096;773.700012;10;695.095093
5140;35703.0;604.486206;39.6085129;-3.43134093;768.599976;10;691.710327
5141;36173.0;604.486206;39.6085129;-3.43134093;768.599976;10;690.193665
5142;36669.0;604.486206;39.6085129;-3.43133092;764.299988;10;688.264771
5143;37145.0;604.486206;39.6085129;-3.43133092;764.299988;10;685.313354
5144;37618.0;604.486206;39.6085129;-3.43132401;759.900024;10;683.868042
5145;38098.0;604.486206;39.6085129;-3.43132401;759.900024;10;683.004028
5146;38593.0;604.486206;39.6085129;-3.43129611;755.5;10;679.780457
5147;39069.0;604.486206;39.6085129;-3.43129611;755.5;10;678.937561
5148;39544.0;604.486206;39.6085052;-3.43126702;752.099976;10;676.369263
5149;40014.0;604.486206;39.6085052;-3.43126702;752.099976;10;673.771912
5150;40511.0;604.486206;39.6085091;-3.43125105;747.5;10;672.175964
5151;40981.0;604.486206;39.6085091;-3.43125105;747.5;10;670.424133
5152;41460.0;604.486206;39.6085396;-3.431247;742.799988;10;667.2323
5153;41929.0;604.486206;39.6085396;-3.431247;742.799988;10;665.366821
5154;42426.0;604.486206;39.6086006;-3.43122101;738.299988;10;662.893677
5155;42896.0;604.486206;39.6086006;-3.43122101;738.299988;10;660.653015
5156;43380.0;604.486206;39.6086006;-3.43122101;738.299988;10;659.17865
5157;43851.0;604.486206;39.6086731;-3.43115592;734.200012;10;657.101807
5158;44362.0;604.486206;39.6086731;-3.43115592;734.200012;10;654.610168
5159;44832.0;604.486206;39.6087303;-3.43107009;729.5;9;653.215027
5160;45299.0;604.486206;39.6087303;-3.43107009;729.5;9;651.354858
5161;45773.0;604.486206;39.608757;-3.43099689;725.299988;10;649.56604
5162;46238.0;604.486206;39.608757;-3.43099689;725.299988;10;648.678223
5163;46729.0;604.486206;39.6087761;-3.43095899;721.400024;10;645.808716
5164;47195.0;604.486206;39.6087761;-3.43095899;721.400024;10;642.669739
5165;47668.0;604.486206;39.6088219;-3.43093491;717.400024;10;642.196716
5166;48134.0;604.486206;39.6088219;-3.43093491;717.400024;10;639.287598
5167;48630.0;604.486206;39.6088219;-3.43093491;717.400024;10;636.91748
5168;49097.0;604.486206;39.6088219;-3.43093491;717.400024;10;635.075806
5169;49565.0;604.486206;39.6089363;-3.43082309;707.799988;10;633.53009
5170;50037.0;604.486206;39.6089363;-3.43082309;707.799988;10;630.155884
5171;50528.0;604.486206;39.6089478;-3.43074894;703.299988;10;629.405518
5172;50995.0;604.486206;39.6089478;-3.43074894;703.299988;10;627.148987
5173;51464.0;604.486206;39.6089401;-3.43070698;697.599976;10;624.07074
5174;51935.0;604.486206;39.6089401;-3.43070698;697.599976;10;622.044128
5175;52403.0;604.486206;39.6089439;-3.43069601;692.099976;10;619.956726
5176;52890.0;604.486206;39.6089439;-3.43069601;692.099976;10;616.516479
5177;53356.0;604.486206;39.6089439;-3.43069506;690.5;10;617.583984
5178;53829.0;604.486206;39.6089439;-3.43069506;690.5;10;617.240479
5179;54299.0;604.486206;39.6089439;-3.43069506;690.5;10;617.058167
5180;54787.0;604.486206;39.6089439;-3.43069291;691.5;10;617.031738
5181;55253.0;604.486206;39.6089439;-3.43069291;691.5;10;617.546997
5182;55720.0;604.486206;39.6089439;-3.43069196;691.400024;10;616.992065
5183;56190.0;604.486206;39.6089439;-3.43069196;691.400024;10;616.886414
5184;56694.0;604.486206;39.6089439;-3.43069196;691.400024;10;617.650024
5185;57163.0;604.486206;39.6089439;-3.43069196;691.400024;10;616.902283
5186;57636.0;604.486206;39.6089478;-3.43069196;691.400024;10;617.959167
5187;58105.0;604.486206;39.6089478;-3.43069196;691.400024;10;617.655334
5188;58583.0;604.486206;39.6089478;-3.43069196;691.400024;10;617.449219
5189;59083.0;604.486206;39.6089478;-3.43069196;691.400024;10;617.229919
5190;59556.0;604.486206;39.6089478;-3.43069196;691.299988;10;618.136169
5191;60028.0;604.486206;39.6089478;-3.43069196;691.299988;10;617.129517
5192;60495.0;604.486206;39.6089478;-3.43069196;691.299988;9;617.161194
5193;60988.0;604.486206;39.6089478;-3.43069196;691.299988;9;617.599792
5194;61459.0;604.486206;39.6089478;-3.43069196;691.299988;10;617.015869
5195;61930.0;604.486206;39.6089478;-3.43069196;691.299988;10;617.377869
5196;62394.0;604.486206;39.6089478;-3.43069291;691.299988;10;617.517883
5197;62890.0;604.486206;39.6089478;-3.43069291;691.299988;10;616.968323
5198;63361.0;604.486206;39.6089478;-3.43069291;691.299988;10;617.544312
5199;63832.0;604.486206;39.6089478;-3.43069291;691.299988;10;616.931335
